"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CLI","AMPLITUD","LTRENDIDX","M","1998-04",100.6045,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1998-05",100.4189,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1998-06",100.207,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1998-07",100.0018,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1998-08",99.82944,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1998-09",99.72501,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1998-10",99.72586,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1998-11",99.83566,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1998-12",100.015,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-01",100.2368,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-02",100.4627,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-03",100.6659,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-04",100.8437,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-05",100.9957,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-06",101.111,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-07",101.193,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-08",101.2523,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-09",101.3044,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-10",101.3581,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-11",101.4144,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-12",101.4537,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-01",101.448,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-02",101.3797,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-03",101.2785,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-04",101.154,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-05",100.9996,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-06",100.8247,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-07",100.63,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-08",100.4006,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-09",100.1331,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-10",99.81001,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-11",99.44219,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-12",99.04601,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-01",98.68473,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-02",98.40796,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-03",98.2296,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-04",98.14101,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-05",98.11417,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-06",98.09037,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-07",98.0434,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-08",97.97657,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-09",97.93334,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-10",97.98859,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-11",98.16984,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-12",98.45428,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-01",98.78346,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-02",99.0956,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-03",99.32994,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-04",99.42651,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-05",99.365,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-06",99.15446,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-07",98.85148,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-08",98.52802,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-09",98.2281,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-10",97.99243,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-11",97.83749,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-12",97.73482,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-01",97.6618,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-02",97.63017,
