"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","Q","1998-Q2",1.602164,
"USA","CPI","TOT","AGRWTH","Q","1998-Q3",1.595855,
"USA","CPI","TOT","AGRWTH","Q","1998-Q4",1.548307,
"USA","CPI","TOT","AGRWTH","Q","1999-Q1",1.667696,
"USA","CPI","TOT","AGRWTH","Q","1999-Q2",2.109359,
"USA","CPI","TOT","AGRWTH","Q","1999-Q3",2.345981,
"USA","CPI","TOT","AGRWTH","Q","1999-Q4",2.622484,
"USA","CPI","TOT","AGRWTH","Q","2000-Q1",3.240178,
"USA","CPI","TOT","AGRWTH","Q","2000-Q2",3.329322,
"USA","CPI","TOT","AGRWTH","Q","2000-Q3",3.508073,
"USA","CPI","TOT","AGRWTH","Q","2000-Q4",3.4271,
"USA","CPI","TOT","AGRWTH","Q","2001-Q1",3.393488,
"USA","CPI","TOT","AGRWTH","Q","2001-Q2",3.377329,
"USA","CPI","TOT","AGRWTH","Q","2001-Q3",2.695937,
"USA","CPI","TOT","AGRWTH","Q","2001-Q4",1.857882,
"USA","CPI","TOT","AGRWTH","Q","2002-Q1",1.252134,
"USA","CPI","TOT","AGRWTH","Q","2002-Q2",1.295531,
"USA","CPI","TOT","AGRWTH","Q","2002-Q3",1.59385,
"USA","CPI","TOT","AGRWTH","Q","2002-Q4",2.200075,
"USA","CPI","TOT","AGRWTH","Q","2003-Q1",2.866779,
"USA","CPI","TOT","AGRWTH","Q","2003-Q2",2.131603,
"USA","CPI","TOT","AGRWTH","Q","2003-Q3",2.196383,
"USA","CPI","TOT","AGRWTH","Q","2003-Q4",1.895124,
"USA","CPI","TOT","AGRWTH","Q","2004-Q1",1.785064,
"USA","CPI","TOT","AGRWTH","Q","2004-Q2",2.867514,
"USA","CPI","TOT","AGRWTH","Q","2004-Q3",2.727108,
"USA","CPI","TOT","AGRWTH","Q","2004-Q4",3.322499,
"USA","CPI","TOT","AGRWTH","Q","2005-Q1",3.042233,
"USA","CPI","TOT","AGRWTH","Q","2005-Q2",2.946366,
"USA","CPI","TOT","AGRWTH","Q","2005-Q3",3.83263,
"USA","CPI","TOT","AGRWTH","Q","2005-Q4",3.739951,
"USA","CPI","TOT","AGRWTH","Q","2006-Q1",3.6471,
"USA","CPI","TOT","AGRWTH","Q","2006-Q2",4.010283,
"USA","CPI","TOT","AGRWTH","Q","2006-Q3",3.335591,
"USA","CPI","TOT","AGRWTH","Q","2006-Q4",1.937332,
"USA","CPI","TOT","AGRWTH","Q","2007-Q1",2.424095,
"USA","CPI","TOT","AGRWTH","Q","2007-Q2",2.650684,
"USA","CPI","TOT","AGRWTH","Q","2007-Q3",2.360478,
"USA","CPI","TOT","AGRWTH","Q","2007-Q4",3.974384,
"USA","CPI","TOT","AGRWTH","Q","2008-Q1",4.095428,
"USA","CPI","TOT","AGRWTH","Q","2008-Q2",4.379385,
"USA","CPI","TOT","AGRWTH","Q","2008-Q3",5.302814,
"USA","CPI","TOT","AGRWTH","Q","2008-Q4",1.601687,
