"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CPI","TOT","IDX2015","M","1960-07",12.24651,
"CAN","CPI","TOT","IDX2015","M","1960-08",12.24651,
"CAN","CPI","TOT","IDX2015","M","1960-09",12.24651,
"CAN","CPI","TOT","IDX2015","M","1960-10",12.40453,
"CAN","CPI","TOT","IDX2015","M","1960-11",12.40453,
"CAN","CPI","TOT","IDX2015","M","1960-12",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-01",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-02",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-03",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-04",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-05",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-06",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-07",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-08",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-09",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-10",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-11",12.40453,
"CAN","CPI","TOT","IDX2015","M","1961-12",12.40453,
"CAN","CPI","TOT","IDX2015","M","1962-01",12.40453,
"CAN","CPI","TOT","IDX2015","M","1962-02",12.40453,
"CAN","CPI","TOT","IDX2015","M","1962-03",12.40453,
"CAN","CPI","TOT","IDX2015","M","1962-04",12.48354,
"CAN","CPI","TOT","IDX2015","M","1962-05",12.48354,
"CAN","CPI","TOT","IDX2015","M","1962-06",12.56255,
"CAN","CPI","TOT","IDX2015","M","1962-07",12.56255,
"CAN","CPI","TOT","IDX2015","M","1962-08",12.64156,
"CAN","CPI","TOT","IDX2015","M","1962-09",12.56255,
"CAN","CPI","TOT","IDX2015","M","1962-10",12.64156,
"CAN","CPI","TOT","IDX2015","M","1962-11",12.64156,
"CAN","CPI","TOT","IDX2015","M","1962-12",12.64156,
"CAN","CPI","TOT","IDX2015","M","1963-01",12.64156,
"CAN","CPI","TOT","IDX2015","M","1963-02",12.64156,
"CAN","CPI","TOT","IDX2015","M","1963-03",12.64156,
"CAN","CPI","TOT","IDX2015","M","1963-04",12.64156,
"CAN","CPI","TOT","IDX2015","M","1963-05",12.64156,
"CAN","CPI","TOT","IDX2015","M","1963-06",12.64156,
"CAN","CPI","TOT","IDX2015","M","1963-07",12.79958,
"CAN","CPI","TOT","IDX2015","M","1963-08",12.87859,
"CAN","CPI","TOT","IDX2015","M","1963-09",12.79958,
"CAN","CPI","TOT","IDX2015","M","1963-10",12.79958,
"CAN","CPI","TOT","IDX2015","M","1963-11",12.87859,
"CAN","CPI","TOT","IDX2015","M","1963-12",12.87859,
"CAN","CPI","TOT","IDX2015","M","1964-01",12.87859,
"CAN","CPI","TOT","IDX2015","M","1964-02",12.87859,
"CAN","CPI","TOT","IDX2015","M","1964-03",12.87859,
"CAN","CPI","TOT","IDX2015","M","1964-04",12.9576,
"CAN","CPI","TOT","IDX2015","M","1964-05",12.9576,
"CAN","CPI","TOT","IDX2015","M","1964-06",12.9576,
"CAN","CPI","TOT","IDX2015","M","1964-07",13.03661,
"CAN","CPI","TOT","IDX2015","M","1964-08",13.03661,
"CAN","CPI","TOT","IDX2015","M","1964-09",13.03661,
"CAN","CPI","TOT","IDX2015","M","1964-10",13.03661,
"CAN","CPI","TOT","IDX2015","M","1964-11",13.03661,
"CAN","CPI","TOT","IDX2015","M","1964-12",13.11562,
"CAN","CPI","TOT","IDX2015","M","1965-01",13.11562,
"CAN","CPI","TOT","IDX2015","M","1965-02",13.11562,
"CAN","CPI","TOT","IDX2015","M","1965-03",13.11562,
"CAN","CPI","TOT","IDX2015","M","1965-04",13.19463,
"CAN","CPI","TOT","IDX2015","M","1965-05",13.19463,
"CAN","CPI","TOT","IDX2015","M","1965-06",13.35265,
"CAN","CPI","TOT","IDX2015","M","1965-07",13.35265,
"CAN","CPI","TOT","IDX2015","M","1965-08",13.35265,
"CAN","CPI","TOT","IDX2015","M","1965-09",13.35265,
"CAN","CPI","TOT","IDX2015","M","1965-10",13.35265,
"CAN","CPI","TOT","IDX2015","M","1965-11",13.43166,
"CAN","CPI","TOT","IDX2015","M","1965-12",13.51067,
"CAN","CPI","TOT","IDX2015","M","1966-01",13.51067,
"CAN","CPI","TOT","IDX2015","M","1966-02",13.58968,
"CAN","CPI","TOT","IDX2015","M","1966-03",13.66869,
"CAN","CPI","TOT","IDX2015","M","1966-04",13.7477,
"CAN","CPI","TOT","IDX2015","M","1966-05",13.7477,
"CAN","CPI","TOT","IDX2015","M","1966-06",13.8267,
"CAN","CPI","TOT","IDX2015","M","1966-07",13.8267,
"CAN","CPI","TOT","IDX2015","M","1966-08",13.90571,
"CAN","CPI","TOT","IDX2015","M","1966-09",13.90571,
"CAN","CPI","TOT","IDX2015","M","1966-10",13.90571,
"CAN","CPI","TOT","IDX2015","M","1966-11",13.90571,
"CAN","CPI","TOT","IDX2015","M","1966-12",13.98472,
"CAN","CPI","TOT","IDX2015","M","1967-01",13.98472,
"CAN","CPI","TOT","IDX2015","M","1967-02",13.98472,
"CAN","CPI","TOT","IDX2015","M","1967-03",14.06373,
"CAN","CPI","TOT","IDX2015","M","1967-04",14.14274,
"CAN","CPI","TOT","IDX2015","M","1967-05",14.22175,
"CAN","CPI","TOT","IDX2015","M","1967-06",14.30076,
"CAN","CPI","TOT","IDX2015","M","1967-07",14.37977,
"CAN","CPI","TOT","IDX2015","M","1967-08",14.45878,
"CAN","CPI","TOT","IDX2015","M","1967-09",14.45878,
"CAN","CPI","TOT","IDX2015","M","1967-10",14.45878,
"CAN","CPI","TOT","IDX2015","M","1967-11",14.45878,
"CAN","CPI","TOT","IDX2015","M","1967-12",14.53779,
"CAN","CPI","TOT","IDX2015","M","1968-01",14.6168,
"CAN","CPI","TOT","IDX2015","M","1968-02",14.6168,
"CAN","CPI","TOT","IDX2015","M","1968-03",14.69581,
"CAN","CPI","TOT","IDX2015","M","1968-04",14.69581,
"CAN","CPI","TOT","IDX2015","M","1968-05",14.69581,
"CAN","CPI","TOT","IDX2015","M","1968-06",14.77482,
"CAN","CPI","TOT","IDX2015","M","1968-07",14.93284,
"CAN","CPI","TOT","IDX2015","M","1968-08",15.01185,
"CAN","CPI","TOT","IDX2015","M","1968-09",15.01185,
"CAN","CPI","TOT","IDX2015","M","1968-10",15.01185,
"CAN","CPI","TOT","IDX2015","M","1968-11",15.16987,
"CAN","CPI","TOT","IDX2015","M","1968-12",15.16987,
"CAN","CPI","TOT","IDX2015","M","1969-01",15.16987,
"CAN","CPI","TOT","IDX2015","M","1969-02",15.16987,
"CAN","CPI","TOT","IDX2015","M","1969-03",15.24888,
"CAN","CPI","TOT","IDX2015","M","1969-04",15.48591,
"CAN","CPI","TOT","IDX2015","M","1969-05",15.48591,
"CAN","CPI","TOT","IDX2015","M","1969-06",15.56492,
"CAN","CPI","TOT","IDX2015","M","1969-07",15.64393,
"CAN","CPI","TOT","IDX2015","M","1969-08",15.72294,
"CAN","CPI","TOT","IDX2015","M","1969-09",15.72294,
"CAN","CPI","TOT","IDX2015","M","1969-10",15.72294,
"CAN","CPI","TOT","IDX2015","M","1969-11",15.72294,
"CAN","CPI","TOT","IDX2015","M","1969-12",15.88096,
"CAN","CPI","TOT","IDX2015","M","1970-01",15.95997,
"CAN","CPI","TOT","IDX2015","M","1970-02",15.95997,
"CAN","CPI","TOT","IDX2015","M","1970-03",15.95997,
"CAN","CPI","TOT","IDX2015","M","1970-04",16.03898,
"CAN","CPI","TOT","IDX2015","M","1970-05",16.03898,
"CAN","CPI","TOT","IDX2015","M","1970-06",16.03898,
"CAN","CPI","TOT","IDX2015","M","1970-07",16.197,
"CAN","CPI","TOT","IDX2015","M","1970-08",16.197,
"CAN","CPI","TOT","IDX2015","M","1970-09",16.11799,
"CAN","CPI","TOT","IDX2015","M","1970-10",16.11799,
"CAN","CPI","TOT","IDX2015","M","1970-11",16.11799,
"CAN","CPI","TOT","IDX2015","M","1970-12",16.03898,
"CAN","CPI","TOT","IDX2015","M","1971-01",16.11799,
"CAN","CPI","TOT","IDX2015","M","1971-02",16.197,
"CAN","CPI","TOT","IDX2015","M","1971-03",16.197,
"CAN","CPI","TOT","IDX2015","M","1971-04",16.35502,
"CAN","CPI","TOT","IDX2015","M","1971-05",16.35502,
"CAN","CPI","TOT","IDX2015","M","1971-06",16.43403,
"CAN","CPI","TOT","IDX2015","M","1971-07",16.59205,
"CAN","CPI","TOT","IDX2015","M","1971-08",16.75007,
"CAN","CPI","TOT","IDX2015","M","1971-09",16.67106,
"CAN","CPI","TOT","IDX2015","M","1971-10",16.75007,
"CAN","CPI","TOT","IDX2015","M","1971-11",16.75007,
"CAN","CPI","TOT","IDX2015","M","1971-12",16.82907,
"CAN","CPI","TOT","IDX2015","M","1972-01",16.90808,
"CAN","CPI","TOT","IDX2015","M","1972-02",16.98709,
"CAN","CPI","TOT","IDX2015","M","1972-03",17.0661,
"CAN","CPI","TOT","IDX2015","M","1972-04",17.14511,
"CAN","CPI","TOT","IDX2015","M","1972-05",17.14511,
"CAN","CPI","TOT","IDX2015","M","1972-06",17.14511,
"CAN","CPI","TOT","IDX2015","M","1972-07",17.38214,
"CAN","CPI","TOT","IDX2015","M","1972-08",17.54016,
"CAN","CPI","TOT","IDX2015","M","1972-09",17.61917,
"CAN","CPI","TOT","IDX2015","M","1972-10",17.61917,
"CAN","CPI","TOT","IDX2015","M","1972-11",17.61917,
"CAN","CPI","TOT","IDX2015","M","1972-12",17.69818,
"CAN","CPI","TOT","IDX2015","M","1973-01",17.8562,
"CAN","CPI","TOT","IDX2015","M","1973-02",18.01422,
"CAN","CPI","TOT","IDX2015","M","1973-03",18.01422,
"CAN","CPI","TOT","IDX2015","M","1973-04",18.25125,
"CAN","CPI","TOT","IDX2015","M","1973-05",18.33026,
