"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CPI","TOT","AGRWTH","M","1961-10",0,
"CAN","CPI","TOT","AGRWTH","M","1961-11",0,
"CAN","CPI","TOT","AGRWTH","M","1961-12",0,
"CAN","CPI","TOT","AGRWTH","M","1962-01",0,
"CAN","CPI","TOT","AGRWTH","M","1962-02",0,
"CAN","CPI","TOT","AGRWTH","M","1962-03",0,
"CAN","CPI","TOT","AGRWTH","M","1962-04",0.6369427,
"CAN","CPI","TOT","AGRWTH","M","1962-05",0.6369427,
"CAN","CPI","TOT","AGRWTH","M","1962-06",1.273885,
"CAN","CPI","TOT","AGRWTH","M","1962-07",1.273885,
"CAN","CPI","TOT","AGRWTH","M","1962-08",1.910828,
"CAN","CPI","TOT","AGRWTH","M","1962-09",1.273885,
"CAN","CPI","TOT","AGRWTH","M","1962-10",1.910828,
"CAN","CPI","TOT","AGRWTH","M","1962-11",1.910828,
"CAN","CPI","TOT","AGRWTH","M","1962-12",1.910828,
"CAN","CPI","TOT","AGRWTH","M","1963-01",1.910828,
"CAN","CPI","TOT","AGRWTH","M","1963-02",1.910828,
"CAN","CPI","TOT","AGRWTH","M","1963-03",1.910828,
"CAN","CPI","TOT","AGRWTH","M","1963-04",1.265823,
"CAN","CPI","TOT","AGRWTH","M","1963-05",1.265823,
"CAN","CPI","TOT","AGRWTH","M","1963-06",0.6289308,
"CAN","CPI","TOT","AGRWTH","M","1963-07",1.886792,
"CAN","CPI","TOT","AGRWTH","M","1963-08",1.875,
"CAN","CPI","TOT","AGRWTH","M","1963-09",1.886792,
"CAN","CPI","TOT","AGRWTH","M","1963-10",1.25,
"CAN","CPI","TOT","AGRWTH","M","1963-11",1.875,
"CAN","CPI","TOT","AGRWTH","M","1963-12",1.875,
"CAN","CPI","TOT","AGRWTH","M","1964-01",1.875,
"CAN","CPI","TOT","AGRWTH","M","1964-02",1.875,
"CAN","CPI","TOT","AGRWTH","M","1964-03",1.875,
"CAN","CPI","TOT","AGRWTH","M","1964-04",2.5,
"CAN","CPI","TOT","AGRWTH","M","1964-05",2.5,
"CAN","CPI","TOT","AGRWTH","M","1964-06",2.5,
"CAN","CPI","TOT","AGRWTH","M","1964-07",1.851852,
"CAN","CPI","TOT","AGRWTH","M","1964-08",1.226994,
"CAN","CPI","TOT","AGRWTH","M","1964-09",1.851852,
"CAN","CPI","TOT","AGRWTH","M","1964-10",1.851852,
"CAN","CPI","TOT","AGRWTH","M","1964-11",1.226994,
"CAN","CPI","TOT","AGRWTH","M","1964-12",1.840491,
"CAN","CPI","TOT","AGRWTH","M","1965-01",1.840491,
"CAN","CPI","TOT","AGRWTH","M","1965-02",1.840491,
"CAN","CPI","TOT","AGRWTH","M","1965-03",1.840491,
"CAN","CPI","TOT","AGRWTH","M","1965-04",1.829268,
"CAN","CPI","TOT","AGRWTH","M","1965-05",1.829268,
"CAN","CPI","TOT","AGRWTH","M","1965-06",3.04878,
"CAN","CPI","TOT","AGRWTH","M","1965-07",2.424242,
"CAN","CPI","TOT","AGRWTH","M","1965-08",2.424242,
"CAN","CPI","TOT","AGRWTH","M","1965-09",2.424242,
"CAN","CPI","TOT","AGRWTH","M","1965-10",2.424242,
"CAN","CPI","TOT","AGRWTH","M","1965-11",3.030303,
"CAN","CPI","TOT","AGRWTH","M","1965-12",3.012048,
"CAN","CPI","TOT","AGRWTH","M","1966-01",3.012048,
"CAN","CPI","TOT","AGRWTH","M","1966-02",3.614458,
"CAN","CPI","TOT","AGRWTH","M","1966-03",4.216867,
"CAN","CPI","TOT","AGRWTH","M","1966-04",4.191617,
"CAN","CPI","TOT","AGRWTH","M","1966-05",4.191617,
"CAN","CPI","TOT","AGRWTH","M","1966-06",3.550296,
"CAN","CPI","TOT","AGRWTH","M","1966-07",3.550296,
"CAN","CPI","TOT","AGRWTH","M","1966-08",4.142012,
"CAN","CPI","TOT","AGRWTH","M","1966-09",4.142012,
"CAN","CPI","TOT","AGRWTH","M","1966-10",4.142012,
"CAN","CPI","TOT","AGRWTH","M","1966-11",3.529412,
"CAN","CPI","TOT","AGRWTH","M","1966-12",3.508772,
"CAN","CPI","TOT","AGRWTH","M","1967-01",3.508772,
"CAN","CPI","TOT","AGRWTH","M","1967-02",2.906977,
"CAN","CPI","TOT","AGRWTH","M","1967-03",2.890173,
"CAN","CPI","TOT","AGRWTH","M","1967-04",2.873563,
"CAN","CPI","TOT","AGRWTH","M","1967-05",3.448276,
"CAN","CPI","TOT","AGRWTH","M","1967-06",3.428571,
"CAN","CPI","TOT","AGRWTH","M","1967-07",4,
"CAN","CPI","TOT","AGRWTH","M","1967-08",3.977273,
"CAN","CPI","TOT","AGRWTH","M","1967-09",3.977273,
"CAN","CPI","TOT","AGRWTH","M","1967-10",3.977273,
"CAN","CPI","TOT","AGRWTH","M","1967-11",3.977273,
"CAN","CPI","TOT","AGRWTH","M","1967-12",3.954802,
"CAN","CPI","TOT","AGRWTH","M","1968-01",4.519774,
"CAN","CPI","TOT","AGRWTH","M","1968-02",4.519774,
"CAN","CPI","TOT","AGRWTH","M","1968-03",4.494382,
"CAN","CPI","TOT","AGRWTH","M","1968-04",3.910614,
"CAN","CPI","TOT","AGRWTH","M","1968-05",3.333333,
"CAN","CPI","TOT","AGRWTH","M","1968-06",3.314917,
"CAN","CPI","TOT","AGRWTH","M","1968-07",3.846154,
"CAN","CPI","TOT","AGRWTH","M","1968-08",3.825137,
"CAN","CPI","TOT","AGRWTH","M","1968-09",3.825137,
"CAN","CPI","TOT","AGRWTH","M","1968-10",3.825137,
"CAN","CPI","TOT","AGRWTH","M","1968-11",4.918033,
"CAN","CPI","TOT","AGRWTH","M","1968-12",4.347826,
"CAN","CPI","TOT","AGRWTH","M","1969-01",3.783784,
"CAN","CPI","TOT","AGRWTH","M","1969-02",3.783784,
"CAN","CPI","TOT","AGRWTH","M","1969-03",3.763441,
"CAN","CPI","TOT","AGRWTH","M","1969-04",5.376344,
"CAN","CPI","TOT","AGRWTH","M","1969-05",5.376344,
"CAN","CPI","TOT","AGRWTH","M","1969-06",5.347594,
"CAN","CPI","TOT","AGRWTH","M","1969-07",4.761905,
"CAN","CPI","TOT","AGRWTH","M","1969-08",4.736842,
"CAN","CPI","TOT","AGRWTH","M","1969-09",4.736842,
"CAN","CPI","TOT","AGRWTH","M","1969-10",4.736842,
"CAN","CPI","TOT","AGRWTH","M","1969-11",3.645833,
"CAN","CPI","TOT","AGRWTH","M","1969-12",4.6875,
"CAN","CPI","TOT","AGRWTH","M","1970-01",5.208333,
"CAN","CPI","TOT","AGRWTH","M","1970-02",5.208333,
"CAN","CPI","TOT","AGRWTH","M","1970-03",4.663212,
"CAN","CPI","TOT","AGRWTH","M","1970-04",3.571429,
"CAN","CPI","TOT","AGRWTH","M","1970-05",3.571429,
"CAN","CPI","TOT","AGRWTH","M","1970-06",3.045685,
"CAN","CPI","TOT","AGRWTH","M","1970-07",3.535353,
"CAN","CPI","TOT","AGRWTH","M","1970-08",3.015075,
"CAN","CPI","TOT","AGRWTH","M","1970-09",2.512563,
"CAN","CPI","TOT","AGRWTH","M","1970-10",2.512563,
"CAN","CPI","TOT","AGRWTH","M","1970-11",2.512563,
"CAN","CPI","TOT","AGRWTH","M","1970-12",0.9950249,
"CAN","CPI","TOT","AGRWTH","M","1971-01",0.990099,
"CAN","CPI","TOT","AGRWTH","M","1971-02",1.485149,
"CAN","CPI","TOT","AGRWTH","M","1971-03",1.485149,
"CAN","CPI","TOT","AGRWTH","M","1971-04",1.970443,
"CAN","CPI","TOT","AGRWTH","M","1971-05",1.970443,
"CAN","CPI","TOT","AGRWTH","M","1971-06",2.463054,
"CAN","CPI","TOT","AGRWTH","M","1971-07",2.439024,
"CAN","CPI","TOT","AGRWTH","M","1971-08",3.414634,
"CAN","CPI","TOT","AGRWTH","M","1971-09",3.431373,
"CAN","CPI","TOT","AGRWTH","M","1971-10",3.921569,
"CAN","CPI","TOT","AGRWTH","M","1971-11",3.921569,
"CAN","CPI","TOT","AGRWTH","M","1971-12",4.926108,
"CAN","CPI","TOT","AGRWTH","M","1972-01",4.901961,
"CAN","CPI","TOT","AGRWTH","M","1972-02",4.878049,
"CAN","CPI","TOT","AGRWTH","M","1972-03",5.365854,
"CAN","CPI","TOT","AGRWTH","M","1972-04",4.830918,
"CAN","CPI","TOT","AGRWTH","M","1972-05",4.830918,
"CAN","CPI","TOT","AGRWTH","M","1972-06",4.326923,
"CAN","CPI","TOT","AGRWTH","M","1972-07",4.761905,
"CAN","CPI","TOT","AGRWTH","M","1972-08",4.716981,
"CAN","CPI","TOT","AGRWTH","M","1972-09",5.687204,
"CAN","CPI","TOT","AGRWTH","M","1972-10",5.188679,
"CAN","CPI","TOT","AGRWTH","M","1972-11",5.188679,
"CAN","CPI","TOT","AGRWTH","M","1972-12",5.164319,
"CAN","CPI","TOT","AGRWTH","M","1973-01",5.607477,
"CAN","CPI","TOT","AGRWTH","M","1973-02",6.046512,
"CAN","CPI","TOT","AGRWTH","M","1973-03",5.555555,
"CAN","CPI","TOT","AGRWTH","M","1973-04",6.451613,
"CAN","CPI","TOT","AGRWTH","M","1973-05",6.912442,
"CAN","CPI","TOT","AGRWTH","M","1973-06",7.834101,
"CAN","CPI","TOT","AGRWTH","M","1973-07",7.727273,
"CAN","CPI","TOT","AGRWTH","M","1973-08",8.108109,
"CAN","CPI","TOT","AGRWTH","M","1973-09",8.071749,
"CAN","CPI","TOT","AGRWTH","M","1973-10",8.52018,
"CAN","CPI","TOT","AGRWTH","M","1973-11",9.417041,
"CAN","CPI","TOT","AGRWTH","M","1973-12",9.375,
"CAN","CPI","TOT","AGRWTH","M","1974-01",9.292035,
"CAN","CPI","TOT","AGRWTH","M","1974-02",9.210526,
"CAN","CPI","TOT","AGRWTH","M","1974-03",10.52632,
"CAN","CPI","TOT","AGRWTH","M","1974-04",9.95671,
"CAN","CPI","TOT","AGRWTH","M","1974-05",11.63793,
"CAN","CPI","TOT","AGRWTH","M","1974-06",11.53846,
"CAN","CPI","TOT","AGRWTH","M","1974-07",10.97046,
"CAN","CPI","TOT","AGRWTH","M","1974-08",10.83333,
"CAN","CPI","TOT","AGRWTH","M","1974-09",11.20332,
"CAN","CPI","TOT","AGRWTH","M","1974-10",11.98347,
"CAN","CPI","TOT","AGRWTH","M","1974-11",11.88525,
"CAN","CPI","TOT","AGRWTH","M","1974-12",12.65306,
"CAN","CPI","TOT","AGRWTH","M","1975-01",11.74089,
"CAN","CPI","TOT","AGRWTH","M","1975-02",12.04819,
"CAN","CPI","TOT","AGRWTH","M","1975-03",11.11111,
"CAN","CPI","TOT","AGRWTH","M","1975-04",11.02362,
"CAN","CPI","TOT","AGRWTH","M","1975-05",10.03861,
"CAN","CPI","TOT","AGRWTH","M","1975-06",10.34483,
"CAN","CPI","TOT","AGRWTH","M","1975-07",11.02662,
"CAN","CPI","TOT","AGRWTH","M","1975-08",10.90226,
"CAN","CPI","TOT","AGRWTH","M","1975-09",10.44776,
"CAN","CPI","TOT","AGRWTH","M","1975-10",9.963099,
"CAN","CPI","TOT","AGRWTH","M","1975-11",10.25641,
"CAN","CPI","TOT","AGRWTH","M","1975-12",9.42029,
