"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","EMP","TOT","PC_WKGPOP","M","1998-11",73.90814,
"USA","EMP","TOT","PC_WKGPOP","M","1998-12",74.04585,
"USA","EMP","TOT","PC_WKGPOP","M","1999-01",74.06697,
"USA","EMP","TOT","PC_WKGPOP","M","1999-02",73.93635,
"USA","EMP","TOT","PC_WKGPOP","M","1999-03",73.93504,
"USA","EMP","TOT","PC_WKGPOP","M","1999-04",73.81528,
"USA","EMP","TOT","PC_WKGPOP","M","1999-05",73.9805,
"USA","EMP","TOT","PC_WKGPOP","M","1999-06",73.90768,
"USA","EMP","TOT","PC_WKGPOP","M","1999-07",73.88521,
"USA","EMP","TOT","PC_WKGPOP","M","1999-08",73.92221,
"USA","EMP","TOT","PC_WKGPOP","M","1999-09",73.84209,
"USA","EMP","TOT","PC_WKGPOP","M","1999-10",73.94492,
"USA","EMP","TOT","PC_WKGPOP","M","1999-11",74.03559,
"USA","EMP","TOT","PC_WKGPOP","M","1999-12",74.10191,
"USA","EMP","TOT","PC_WKGPOP","M","2000-01",74.24734,
"USA","EMP","TOT","PC_WKGPOP","M","2000-02",74.2687,
"USA","EMP","TOT","PC_WKGPOP","M","2000-03",74.22716,
"USA","EMP","TOT","PC_WKGPOP","M","2000-04",74.50335,
"USA","EMP","TOT","PC_WKGPOP","M","2000-05",74.08961,
"USA","EMP","TOT","PC_WKGPOP","M","2000-06",74.21117,
"USA","EMP","TOT","PC_WKGPOP","M","2000-07",73.83929,
"USA","EMP","TOT","PC_WKGPOP","M","2000-08",73.88594,
"USA","EMP","TOT","PC_WKGPOP","M","2000-09",73.87302,
"USA","EMP","TOT","PC_WKGPOP","M","2000-10",73.89064,
"USA","EMP","TOT","PC_WKGPOP","M","2000-11",73.92657,
"USA","EMP","TOT","PC_WKGPOP","M","2000-12",74.10237,
"USA","EMP","TOT","PC_WKGPOP","M","2001-01",73.96069,
"USA","EMP","TOT","PC_WKGPOP","M","2001-02",73.86603,
"USA","EMP","TOT","PC_WKGPOP","M","2001-03",73.90075,
"USA","EMP","TOT","PC_WKGPOP","M","2001-04",73.55016,
"USA","EMP","TOT","PC_WKGPOP","M","2001-05",73.39411,
"USA","EMP","TOT","PC_WKGPOP","M","2001-06",73.14545,
"USA","EMP","TOT","PC_WKGPOP","M","2001-07",73.1226,
"USA","EMP","TOT","PC_WKGPOP","M","2001-08",72.58842,
"USA","EMP","TOT","PC_WKGPOP","M","2001-09",72.77945,
"USA","EMP","TOT","PC_WKGPOP","M","2001-10",72.46958,
"USA","EMP","TOT","PC_WKGPOP","M","2001-11",72.32066,
"USA","EMP","TOT","PC_WKGPOP","M","2001-12",72.23603,
"USA","EMP","TOT","PC_WKGPOP","M","2002-01",72.0369,
"USA","EMP","TOT","PC_WKGPOP","M","2002-02",72.33475,
"USA","EMP","TOT","PC_WKGPOP","M","2002-03",72.15051,
"USA","EMP","TOT","PC_WKGPOP","M","2002-04",71.90414,
"USA","EMP","TOT","PC_WKGPOP","M","2002-05",72.01848,
"USA","EMP","TOT","PC_WKGPOP","M","2002-06",71.8425,
"USA","EMP","TOT","PC_WKGPOP","M","2002-07",71.74325,
"USA","EMP","TOT","PC_WKGPOP","M","2002-08",71.88432,
"USA","EMP","TOT","PC_WKGPOP","M","2002-09",72.0477,
"USA","EMP","TOT","PC_WKGPOP","M","2002-10",71.87464,
"USA","EMP","TOT","PC_WKGPOP","M","2002-11",71.54828,
"USA","EMP","TOT","PC_WKGPOP","M","2002-12",71.57481,
"USA","EMP","TOT","PC_WKGPOP","M","2003-01",71.59597,
"USA","EMP","TOT","PC_WKGPOP","M","2003-02",71.51207,
"USA","EMP","TOT","PC_WKGPOP","M","2003-03",71.39367,
"USA","EMP","TOT","PC_WKGPOP","M","2003-04",71.38607,
"USA","EMP","TOT","PC_WKGPOP","M","2003-05",71.22397,
"USA","EMP","TOT","PC_WKGPOP","M","2003-06",71.23074,
"USA","EMP","TOT","PC_WKGPOP","M","2003-07",71.01081,
"USA","EMP","TOT","PC_WKGPOP","M","2003-08",71.01729,
"USA","EMP","TOT","PC_WKGPOP","M","2003-09",70.92513,
"USA","EMP","TOT","PC_WKGPOP","M","2003-10",71.05239,
"USA","EMP","TOT","PC_WKGPOP","M","2003-11",71.12363,
"USA","EMP","TOT","PC_WKGPOP","M","2003-12",71.0996,
"USA","EMP","TOT","PC_WKGPOP","M","2004-01",71.25623,
"USA","EMP","TOT","PC_WKGPOP","M","2004-02",71.19852,
"USA","EMP","TOT","PC_WKGPOP","M","2004-03",71.0489,
"USA","EMP","TOT","PC_WKGPOP","M","2004-04",71.19465,
"USA","EMP","TOT","PC_WKGPOP","M","2004-05",71.14112,
"USA","EMP","TOT","PC_WKGPOP","M","2004-06",71.10649,
"USA","EMP","TOT","PC_WKGPOP","M","2004-07",71.29734,
"USA","EMP","TOT","PC_WKGPOP","M","2004-08",71.25682,
"USA","EMP","TOT","PC_WKGPOP","M","2004-09",71.16032,
"USA","EMP","TOT","PC_WKGPOP","M","2004-10",71.22633,
"USA","EMP","TOT","PC_WKGPOP","M","2004-11",71.36308,
"USA","EMP","TOT","PC_WKGPOP","M","2004-12",71.30858,
"USA","EMP","TOT","PC_WKGPOP","M","2005-01",71.31396,
"USA","EMP","TOT","PC_WKGPOP","M","2005-02",71.23535,
"USA","EMP","TOT","PC_WKGPOP","M","2005-03",71.28399,
"USA","EMP","TOT","PC_WKGPOP","M","2005-04",71.41943,
"USA","EMP","TOT","PC_WKGPOP","M","2005-05",71.52364,
"USA","EMP","TOT","PC_WKGPOP","M","2005-06",71.48132,
"USA","EMP","TOT","PC_WKGPOP","M","2005-07",71.61768,
"USA","EMP","TOT","PC_WKGPOP","M","2005-08",71.81023,
"USA","EMP","TOT","PC_WKGPOP","M","2005-09",71.69461,
"USA","EMP","TOT","PC_WKGPOP","M","2005-10",71.69659,
"USA","EMP","TOT","PC_WKGPOP","M","2005-11",71.56802,
"USA","EMP","TOT","PC_WKGPOP","M","2005-12",71.63412,
"USA","EMP","TOT","PC_WKGPOP","M","2006-01",71.68374,
"USA","EMP","TOT","PC_WKGPOP","M","2006-02",71.77033,
"USA","EMP","TOT","PC_WKGPOP","M","2006-03",71.82083,
"USA","EMP","TOT","PC_WKGPOP","M","2006-04",71.79456,
"USA","EMP","TOT","PC_WKGPOP","M","2006-05",71.87559,
"USA","EMP","TOT","PC_WKGPOP","M","2006-06",72.0117,
"USA","EMP","TOT","PC_WKGPOP","M","2006-07",72.02104,
"USA","EMP","TOT","PC_WKGPOP","M","2006-08",72.10681,
"USA","EMP","TOT","PC_WKGPOP","M","2006-09",72.05495,
"USA","EMP","TOT","PC_WKGPOP","M","2006-10",72.24093,
"USA","EMP","TOT","PC_WKGPOP","M","2006-11",72.17213,
"USA","EMP","TOT","PC_WKGPOP","M","2006-12",72.30979,
"USA","EMP","TOT","PC_WKGPOP","M","2007-01",72.11683,
"USA","EMP","TOT","PC_WKGPOP","M","2007-02",71.96226,
"USA","EMP","TOT","PC_WKGPOP","M","2007-03",71.99571,
"USA","EMP","TOT","PC_WKGPOP","M","2007-04",71.71074,
"USA","EMP","TOT","PC_WKGPOP","M","2007-05",71.75816,
"USA","EMP","TOT","PC_WKGPOP","M","2007-06",71.77337,
"USA","EMP","TOT","PC_WKGPOP","M","2007-07",71.74479,
"USA","EMP","TOT","PC_WKGPOP","M","2007-08",71.58714,
"USA","EMP","TOT","PC_WKGPOP","M","2007-09",71.7058,
"USA","EMP","TOT","PC_WKGPOP","M","2007-10",71.58542,
"USA","EMP","TOT","PC_WKGPOP","M","2007-11",71.76698,
"USA","EMP","TOT","PC_WKGPOP","M","2007-12",71.54638,
"USA","EMP","TOT","PC_WKGPOP","M","2008-01",71.66941,
"USA","EMP","TOT","PC_WKGPOP","M","2008-02",71.43414,
"USA","EMP","TOT","PC_WKGPOP","M","2008-03",71.41974,
"USA","EMP","TOT","PC_WKGPOP","M","2008-04",71.41003,
"USA","EMP","TOT","PC_WKGPOP","M","2008-05",71.19771,
"USA","EMP","TOT","PC_WKGPOP","M","2008-06",71.11062,
"USA","EMP","TOT","PC_WKGPOP","M","2008-07",70.91663,
"USA","EMP","TOT","PC_WKGPOP","M","2008-08",70.69218,
"USA","EMP","TOT","PC_WKGPOP","M","2008-09",70.5117,
