"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","GFCF","TOT","QGRWTH","Q","1998-Q2",3.678893631,"E"
"USA","GFCF","TOT","QGRWTH","Q","1998-Q3",2.402042518,"E"
"USA","GFCF","TOT","QGRWTH","Q","1998-Q4",2.513611154,"E"
"USA","GFCF","TOT","QGRWTH","Q","1999-Q1",1.687596168,"E"
"USA","GFCF","TOT","QGRWTH","Q","1999-Q2",2.289256602,"E"
"USA","GFCF","TOT","QGRWTH","Q","1999-Q3",2.214163008,"E"
"USA","GFCF","TOT","QGRWTH","Q","1999-Q4",0.952380952,"E"
"USA","GFCF","TOT","QGRWTH","Q","2000-Q1",2.538845727,"E"
"USA","GFCF","TOT","QGRWTH","Q","2000-Q2",1.871645695,"E"
"USA","GFCF","TOT","QGRWTH","Q","2000-Q3",0.416150168,"E"
"USA","GFCF","TOT","QGRWTH","Q","2000-Q4",0.295388414,"E"
"USA","GFCF","TOT","QGRWTH","Q","2001-Q1",-0.29451844,"E"
"USA","GFCF","TOT","QGRWTH","Q","2001-Q2",-0.467330923,"E"
"USA","GFCF","TOT","QGRWTH","Q","2001-Q3",-1.723068746,"E"
"USA","GFCF","TOT","QGRWTH","Q","2001-Q4",-1.356650291,"E"
"USA","GFCF","TOT","QGRWTH","Q","2002-Q1",-0.787310219,
"USA","GFCF","TOT","QGRWTH","Q","2002-Q2",0.018217346,
"USA","GFCF","TOT","QGRWTH","Q","2002-Q3",0.195294854,
"USA","GFCF","TOT","QGRWTH","Q","2002-Q4",-0.052623948,
"USA","GFCF","TOT","QGRWTH","Q","2003-Q1",0.732576146,
"USA","GFCF","TOT","QGRWTH","Q","2003-Q2",1.949921597,
"USA","GFCF","TOT","QGRWTH","Q","2003-Q3",3.026981782,
"USA","GFCF","TOT","QGRWTH","Q","2003-Q4",1.55618533,
"USA","GFCF","TOT","QGRWTH","Q","2004-Q1",-0.244329293,
"USA","GFCF","TOT","QGRWTH","Q","2004-Q2",2.347333436,
"USA","GFCF","TOT","QGRWTH","Q","2004-Q3",1.697145974,
"USA","GFCF","TOT","QGRWTH","Q","2004-Q4",1.459642467,
"USA","GFCF","TOT","QGRWTH","Q","2005-Q1",1.472373079,
"USA","GFCF","TOT","QGRWTH","Q","2005-Q2",1.482615322,
"USA","GFCF","TOT","QGRWTH","Q","2005-Q3",1.444391917,
"USA","GFCF","TOT","QGRWTH","Q","2005-Q4",0.417366805,
"USA","GFCF","TOT","QGRWTH","Q","2006-Q1",1.97944937,
"USA","GFCF","TOT","QGRWTH","Q","2006-Q2",-0.294050857,
"USA","GFCF","TOT","QGRWTH","Q","2006-Q3",-0.748219716,
"USA","GFCF","TOT","QGRWTH","Q","2006-Q4",-0.459549689,
"USA","GFCF","TOT","QGRWTH","Q","2007-Q1",0.019816166,
"USA","GFCF","TOT","QGRWTH","Q","2007-Q2",0.729907137,
"USA","GFCF","TOT","QGRWTH","Q","2007-Q3",-0.418117044,
"USA","GFCF","TOT","QGRWTH","Q","2007-Q4",-0.561177042,
"USA","GFCF","TOT","QGRWTH","Q","2008-Q1",-1.314487903,
"USA","GFCF","TOT","QGRWTH","Q","2008-Q2",-0.301847993,
"USA","GFCF","TOT","QGRWTH","Q","2008-Q3",-1.908327539,
"USA","GFCF","TOT","QGRWTH","Q","2008-Q4",-5.373365815,
"USA","GFCF","TOT","QGRWTH","Q","2009-Q1",-6.335132967,
"USA","GFCF","TOT","QGRWTH","Q","2009-Q2",-2.417367839,
"USA","GFCF","TOT","QGRWTH","Q","2009-Q3",0.368310878,
"USA","GFCF","TOT","QGRWTH","Q","2009-Q4",0.170231773,
"USA","GFCF","TOT","QGRWTH","Q","2010-Q1",-0.367058405,
"USA","GFCF","TOT","QGRWTH","Q","2010-Q2",3.205260025,
"USA","GFCF","TOT","QGRWTH","Q","2010-Q3",0.378756731,
"USA","GFCF","TOT","QGRWTH","Q","2010-Q4",1.246532353,
"USA","GFCF","TOT","QGRWTH","Q","2011-Q1",-0.58519853,
"USA","GFCF","TOT","QGRWTH","Q","2011-Q2",1.545240734,
"USA","GFCF","TOT","QGRWTH","Q","2011-Q3",3.063387627,
"USA","GFCF","TOT","QGRWTH","Q","2011-Q4",1.93698863,
"USA","GFCF","TOT","QGRWTH","Q","2012-Q1",2.044775224,
"USA","GFCF","TOT","QGRWTH","Q","2012-Q2",1.510183869,
"USA","GFCF","TOT","QGRWTH","Q","2012-Q3",-0.197405403,
"USA","GFCF","TOT","QGRWTH","Q","2012-Q4",1.174160645,
"USA","GFCF","TOT","QGRWTH","Q","2013-Q1",0.967870237,
"USA","GFCF","TOT","QGRWTH","Q","2013-Q2",0.571833606,
