"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HOUSECOST","REAL","IDX2015","Q","1998-Q3",79.1346495563864,
"USA","HOUSECOST","REAL","IDX2015","Q","1998-Q4",80.221460595167,
"USA","HOUSECOST","REAL","IDX2015","Q","1999-Q1",81.1839662251281,
"USA","HOUSECOST","REAL","IDX2015","Q","1999-Q2",81.9512108908804,
"USA","HOUSECOST","REAL","IDX2015","Q","1999-Q3",82.7836052007053,
"USA","HOUSECOST","REAL","IDX2015","Q","1999-Q4",83.5293176968912,
"USA","HOUSECOST","REAL","IDX2015","Q","2000-Q1",84.305780369231,
"USA","HOUSECOST","REAL","IDX2015","Q","2000-Q2",85.3409406714725,
"USA","HOUSECOST","REAL","IDX2015","Q","2000-Q3",86.158126930786,
"USA","HOUSECOST","REAL","IDX2015","Q","2000-Q4",87.1765331013416,
"USA","HOUSECOST","REAL","IDX2015","Q","2001-Q1",88.1864557592864,
"USA","HOUSECOST","REAL","IDX2015","Q","2001-Q2",89.1961385278053,
"USA","HOUSECOST","REAL","IDX2015","Q","2001-Q3",90.5046268049465,
"USA","HOUSECOST","REAL","IDX2015","Q","2001-Q4",91.8642808400989,
"USA","HOUSECOST","REAL","IDX2015","Q","2002-Q1",93.226230718091,
"USA","HOUSECOST","REAL","IDX2015","Q","2002-Q2",94.2263409941973,
"USA","HOUSECOST","REAL","IDX2015","Q","2002-Q3",95.5647508719628,
"USA","HOUSECOST","REAL","IDX2015","Q","2002-Q4",97.0253435471116,
"USA","HOUSECOST","REAL","IDX2015","Q","2003-Q1",98.0573527561464,
"USA","HOUSECOST","REAL","IDX2015","Q","2003-Q2",99.608741889841,
"USA","HOUSECOST","REAL","IDX2015","Q","2003-Q3",100.947636589997,
"USA","HOUSECOST","REAL","IDX2015","Q","2003-Q4",102.763229374433,
"USA","HOUSECOST","REAL","IDX2015","Q","2004-Q1",104.192451532571,
"USA","HOUSECOST","REAL","IDX2015","Q","2004-Q2",106.084440943505,
"USA","HOUSECOST","REAL","IDX2015","Q","2004-Q3",108.282170995429,
"USA","HOUSECOST","REAL","IDX2015","Q","2004-Q4",110.037885903471,
"USA","HOUSECOST","REAL","IDX2015","Q","2005-Q1",112.133737149362,
"USA","HOUSECOST","REAL","IDX2015","Q","2005-Q2",114.405210198076,
"USA","HOUSECOST","REAL","IDX2015","Q","2005-Q3",116.159875023015,
"USA","HOUSECOST","REAL","IDX2015","Q","2005-Q4",117.693740225661,
"USA","HOUSECOST","REAL","IDX2015","Q","2006-Q1",118.826964278401,
"USA","HOUSECOST","REAL","IDX2015","Q","2006-Q2",118.727741759285,
"USA","HOUSECOST","REAL","IDX2015","Q","2006-Q3",118.074629730456,
"USA","HOUSECOST","REAL","IDX2015","Q","2006-Q4",118.851671852508,
"USA","HOUSECOST","REAL","IDX2015","Q","2007-Q1",118.454940717041,
"USA","HOUSECOST","REAL","IDX2015","Q","2007-Q2",117.202226893292,
"USA","HOUSECOST","REAL","IDX2015","Q","2007-Q3",115.076616651939,
"USA","HOUSECOST","REAL","IDX2015","Q","2007-Q4",111.901948832502,
"USA","HOUSECOST","REAL","IDX2015","Q","2008-Q1",108.393878106486,
"USA","HOUSECOST","REAL","IDX2015","Q","2008-Q2",104.307504605547,
"USA","HOUSECOST","REAL","IDX2015","Q","2008-Q3",100.638765114861,
"USA","HOUSECOST","REAL","IDX2015","Q","2008-Q4",99.1967961787466,
"USA","HOUSECOST","REAL","IDX2015","Q","2009-Q1",99.2464637720395,
"USA","HOUSECOST","REAL","IDX2015","Q","2009-Q2",97.3514405348332,
"USA","HOUSECOST","REAL","IDX2015","Q","2009-Q3",96.2473601158506,
"USA","HOUSECOST","REAL","IDX2015","Q","2009-Q4",95.4537661053886,
"USA","HOUSECOST","REAL","IDX2015","Q","2010-Q1",94.2303823531901,
"USA","HOUSECOST","REAL","IDX2015","Q","2010-Q2",93.6678127009432,
"USA","HOUSECOST","REAL","IDX2015","Q","2010-Q3",91.9812431811046,
"USA","HOUSECOST","REAL","IDX2015","Q","2010-Q4",90.5221990045344,
"USA","HOUSECOST","REAL","IDX2015","Q","2011-Q1",87.7697994525602,
"USA","HOUSECOST","REAL","IDX2015","Q","2011-Q2",86.1855880281863,
"USA","HOUSECOST","REAL","IDX2015","Q","2011-Q3",86.0708335883509,
"USA","HOUSECOST","REAL","IDX2015","Q","2011-Q4",85.9569014816616,
"USA","HOUSECOST","REAL","IDX2015","Q","2012-Q1",85.7174555084578,
"USA","HOUSECOST","REAL","IDX2015","Q","2012-Q2",86.9140943413381,
"USA","HOUSECOST","REAL","IDX2015","Q","2012-Q3",87.7328488955098,
"USA","HOUSECOST","REAL","IDX2015","Q","2012-Q4",88.5424419229583,
"USA","HOUSECOST","REAL","IDX2015","Q","2013-Q1",90.0402415482404,
"USA","HOUSECOST","REAL","IDX2015","Q","2013-Q2",91.8358760824469,
"USA","HOUSECOST","REAL","IDX2015","Q","2013-Q3",92.9244076194718,
"USA","HOUSECOST","REAL","IDX2015","Q","2013-Q4",93.4876567429929,
"USA","HOUSECOST","REAL","IDX2015","Q","2014-Q1",94.1985884159935,
"USA","HOUSECOST","REAL","IDX2015","Q","2014-Q2",94.6166477106293,
"USA","HOUSECOST","REAL","IDX2015","Q","2014-Q3",95.4123142954375,
"USA","HOUSECOST","REAL","IDX2015","Q","2014-Q4",96.7751524383723,
"USA","HOUSECOST","REAL","IDX2015","Q","2015-Q1",98.5162821310282,
"USA","HOUSECOST","REAL","IDX2015","Q","2015-Q2",99.3207352300809,
"USA","HOUSECOST","REAL","IDX2015","Q","2015-Q3",100.330730663262,
"USA","HOUSECOST","REAL","IDX2015","Q","2015-Q4",101.832251975629,
