"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",6.79145333333333,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",6.74203666666667,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",6.10092666666667,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",5.80092666666667,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",5.8,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",5.8,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",5.70092666666667,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",5.70092666666667,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",5.70092666666667,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",5.7,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",5.7,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",5.7,
"IND","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",5.7,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",2.01333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",2.04,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",1.37333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",1.33333333333333,
"POL","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",1.33333333333333,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",1.39333333333333,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",1.22333333333333,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.606666666666667,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.65,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.750000000000002,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.850000000000002,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.950000000000002,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.950000000000002,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.950000000000002,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.950000000000002,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.950000000000002,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",1.19333333333333,
"NOR","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",1.19333333333333,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.0472000000000001,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.0808666666666666,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.0054333333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.175433333333333,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.155433333333334,
"FRA","LTINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.155433333333334,
