"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","SHPRICE","TOT","IDX2015","M","1959-02",3.924447,
"CAN","SHPRICE","TOT","IDX2015","M","1959-03",3.95046,
"CAN","SHPRICE","TOT","IDX2015","M","1959-04",3.925703,
"CAN","SHPRICE","TOT","IDX2015","M","1959-05",3.960921,
"CAN","SHPRICE","TOT","IDX2015","M","1959-06",3.969499,
"CAN","SHPRICE","TOT","IDX2015","M","1959-07",4.006321,
"CAN","SHPRICE","TOT","IDX2015","M","1959-08",4.167001,
"CAN","SHPRICE","TOT","IDX2015","M","1959-09",3.956109,
"CAN","SHPRICE","TOT","IDX2015","M","1959-10",3.775344,
"CAN","SHPRICE","TOT","IDX2015","M","1959-11",3.773322,
"CAN","SHPRICE","TOT","IDX2015","M","1959-12",3.759653,
"CAN","SHPRICE","TOT","IDX2015","M","1960-01",3.862798,
"CAN","SHPRICE","TOT","IDX2015","M","1960-02",3.688937,
"CAN","SHPRICE","TOT","IDX2015","M","1960-03",3.572193,
"CAN","SHPRICE","TOT","IDX2015","M","1960-04",3.568009,
"CAN","SHPRICE","TOT","IDX2015","M","1960-05",3.513194,
"CAN","SHPRICE","TOT","IDX2015","M","1960-06",3.608249,
"CAN","SHPRICE","TOT","IDX2015","M","1960-07",3.518913,
"CAN","SHPRICE","TOT","IDX2015","M","1960-08",3.45538,
"CAN","SHPRICE","TOT","IDX2015","M","1960-09",3.663273,
"CAN","SHPRICE","TOT","IDX2015","M","1960-10",3.489203,
"CAN","SHPRICE","TOT","IDX2015","M","1960-11",3.494434,
"CAN","SHPRICE","TOT","IDX2015","M","1960-12",3.630496,
"CAN","SHPRICE","TOT","IDX2015","M","1961-01",3.80875,
"CAN","SHPRICE","TOT","IDX2015","M","1961-02",4.020758,
"CAN","SHPRICE","TOT","IDX2015","M","1961-03",4.148729,
"CAN","SHPRICE","TOT","IDX2015","M","1961-04",4.233184,
"CAN","SHPRICE","TOT","IDX2015","M","1961-05",4.421411,
"CAN","SHPRICE","TOT","IDX2015","M","1961-06",4.50726,
"CAN","SHPRICE","TOT","IDX2015","M","1961-07",4.541641,
"CAN","SHPRICE","TOT","IDX2015","M","1961-08",4.62226,
"CAN","SHPRICE","TOT","IDX2015","M","1961-09",4.685932,
"CAN","SHPRICE","TOT","IDX2015","M","1961-10",4.615216,
"CAN","SHPRICE","TOT","IDX2015","M","1961-11",4.647715,
"CAN","SHPRICE","TOT","IDX2015","M","1961-12",4.786984,
"CAN","SHPRICE","TOT","IDX2015","M","1962-01",4.882249,
"CAN","SHPRICE","TOT","IDX2015","M","1962-02",4.763413,
"CAN","SHPRICE","TOT","IDX2015","M","1962-03",4.789495,
"CAN","SHPRICE","TOT","IDX2015","M","1962-04",4.778058,
"CAN","SHPRICE","TOT","IDX2015","M","1962-05",4.638719,
"CAN","SHPRICE","TOT","IDX2015","M","1962-06",4.257662,
"CAN","SHPRICE","TOT","IDX2015","M","1962-07",3.996628,
"CAN","SHPRICE","TOT","IDX2015","M","1962-08",4.091613,
"CAN","SHPRICE","TOT","IDX2015","M","1962-09",4.176416,
