"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",4.45333333333333,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",4.5,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",4.2,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",2.84,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",1.75,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",1.75,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",1.75,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",1.75,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",1.75,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",1.75,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",2,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",2.5,
"COL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",3,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",6.98,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",6.43,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",4.45333333333333,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",3.5033333333333,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",3.25033333333333,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",3.25033333333333,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",3.25033333333333,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",3.25033333333333,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",3.5033333333333,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",3.5033333333333,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",3.5033333333333,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",3.503333333333,
"ZAF","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",3.503333333333,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",1.15333333333333,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",1.05333333333333,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.31,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.296666666666667,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.3,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.3,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.3,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.3,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.3,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.3,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.3,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.3,
"NZL","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.3,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",0.896666666666667,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",0.77,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.123333333333333,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.0966666666666667,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.03,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.02,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.02,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.02,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.02,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.02,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.02,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.02,
"AUS","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.02,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",0.0130333333333333,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",0.194933333333333,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.206014285714286,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.00158165505991593,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.00158165505991592,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.00158165505991592,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.00158165505991592,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.00158165505991592,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.00158165505991592,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.00158165505991592,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.00158165505991592,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.00158165505991592,
"SWE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.00158165505991592,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",5.15,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",4.9,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",4.13333333333333,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",3.90333333333333,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",3.90333333333333,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",3.90333333333333,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",3.65,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",3.65,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",3.65,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",3.65,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",3.65,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",3.65,
"IND","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",3.65,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",0.786666666666667,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",0.673333333333333,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.39,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.0766666666666667,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.0766666666666667,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.0766666666666667,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.0766666666666667,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.0766666666666667,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.0766666666666667,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.0766666666666667,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.0766666666666667,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.0766666666666667,
"GBR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.0766666666666667,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.402966666666667,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.4055,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.300666666666667,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.471733333333333,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.500133333333333,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.500133333333333,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.500133333333333,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.500133333333333,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.500133333333333,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.500133333333333,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.500133333333333,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.500133333333333,
"EST","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.500133333333333,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",1.50333333333333,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",1.37333333333333,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.97,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.7,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.7,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.7,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.7,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.7,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.7,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.7,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.7,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.7,
"KOR","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.7,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.056,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",0.214,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.870466666666667,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.317266666666667,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.317266666666667,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.317266666666667,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.317266666666667,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.317266666666667,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.317266666666667,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.317266666666667,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.317266666666667,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.317266666666667,
"HUN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.317266666666667,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.402966666666667,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.4055,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.300666666666667,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.471733333333333,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.500133333333333,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.500133333333333,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.500133333333333,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.500133333333333,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.500133333333333,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.500133333333333,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.500133333333333,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.500133333333333,
"SVN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.500133333333333,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",1.93,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",1.51666666666667,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.503333333333333,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.2,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.2,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.2,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.2,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.2,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.2,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.2,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.2,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.2,
"USA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.2,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.402966666666667,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.4055,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.300666666666667,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.471733333333333,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.500133333333333,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.500133333333333,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.500133333333333,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.500133333333333,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.500133333333333,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.500133333333333,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.500133333333333,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.500133333333333,
"FIN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.500133333333333,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",1.86666666666667,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",1.66,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",0.376666666666667,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",0.263333333333333,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",0.263333333333333,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",0.263333333333333,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",0.263333333333333,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",0.263333333333333,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",0.263333333333333,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",0.263333333333333,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",0.263333333333333,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",0.263333333333333,
"CAN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",0.263333333333333,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.402966666666667,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.4055,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.300666666666667,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.471733333333333,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.500133333333333,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.500133333333333,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.500133333333333,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.500133333333333,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.500133333333333,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.500133333333333,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.500133333333333,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.500133333333333,
"LVA","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.500133333333333,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.723533333333333,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.693533333333333,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.636733333333333,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.735066666666667,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.735066666666667,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.735066666666667,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.735066666666667,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.735066666666667,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.735066666666667,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.735066666666667,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.735066666666667,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.735066666666667,
"CHE","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.735066666666667,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",6.37666666666667,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",6.17333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",5.83333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",5.83333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",5.58333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",5.58333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",5.58333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",5.58333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",5.58333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",5.58333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",5.58333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",5.58333333333333,
"IDN","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",5.58333333333333,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2019-Q4",-0.402966666666667,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q1",-0.4055,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q2",-0.300666666666667,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q3",-0.471733333333333,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2020-Q4",-0.500133333333333,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q1",-0.500133333333333,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q2",-0.500133333333333,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q3",-0.500133333333333,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2021-Q4",-0.500133333333333,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q1",-0.500133333333333,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q2",-0.500133333333333,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q3",-0.500133333333333,
"GRC","STINTFORECAST","DEC2020FORECAST","PC_PA","Q","2022-Q4",-0.500133333333333,
