"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","STINT","TOT","PC_PA","M","1998-11",5.24,
"USA","STINT","TOT","PC_PA","M","1998-12",5.14,
"USA","STINT","TOT","PC_PA","M","1999-01",4.89,
"USA","STINT","TOT","PC_PA","M","1999-02",4.9,
"USA","STINT","TOT","PC_PA","M","1999-03",4.91,
"USA","STINT","TOT","PC_PA","M","1999-04",4.88,
"USA","STINT","TOT","PC_PA","M","1999-05",4.92,
"USA","STINT","TOT","PC_PA","M","1999-06",5.13,
"USA","STINT","TOT","PC_PA","M","1999-07",5.24,
"USA","STINT","TOT","PC_PA","M","1999-08",5.41,
"USA","STINT","TOT","PC_PA","M","1999-09",5.5,
"USA","STINT","TOT","PC_PA","M","1999-10",6.13,
"USA","STINT","TOT","PC_PA","M","1999-11",6,
"USA","STINT","TOT","PC_PA","M","1999-12",6.05,
"USA","STINT","TOT","PC_PA","M","2000-01",5.95,
"USA","STINT","TOT","PC_PA","M","2000-02",6.01,
"USA","STINT","TOT","PC_PA","M","2000-03",6.14,
"USA","STINT","TOT","PC_PA","M","2000-04",6.28,
"USA","STINT","TOT","PC_PA","M","2000-05",6.71,
"USA","STINT","TOT","PC_PA","M","2000-06",6.73,
"USA","STINT","TOT","PC_PA","M","2000-07",6.67,
"USA","STINT","TOT","PC_PA","M","2000-08",6.61,
"USA","STINT","TOT","PC_PA","M","2000-09",6.6,
"USA","STINT","TOT","PC_PA","M","2000-10",6.67,
"USA","STINT","TOT","PC_PA","M","2000-11",6.65,
"USA","STINT","TOT","PC_PA","M","2000-12",6.45,
"USA","STINT","TOT","PC_PA","M","2001-01",5.62,
"USA","STINT","TOT","PC_PA","M","2001-02",5.26,
"USA","STINT","TOT","PC_PA","M","2001-03",4.89,
"USA","STINT","TOT","PC_PA","M","2001-04",4.53,
"USA","STINT","TOT","PC_PA","M","2001-05",4.02,
"USA","STINT","TOT","PC_PA","M","2001-06",3.74,
"USA","STINT","TOT","PC_PA","M","2001-07",3.66,
"USA","STINT","TOT","PC_PA","M","2001-08",3.48,
"USA","STINT","TOT","PC_PA","M","2001-09",2.87,
"USA","STINT","TOT","PC_PA","M","2001-10",2.31,
"USA","STINT","TOT","PC_PA","M","2001-11",2.03,
"USA","STINT","TOT","PC_PA","M","2001-12",1.83,
"USA","STINT","TOT","PC_PA","M","2002-01",1.74,
"USA","STINT","TOT","PC_PA","M","2002-02",1.82,
"USA","STINT","TOT","PC_PA","M","2002-03",1.91,
"USA","STINT","TOT","PC_PA","M","2002-04",1.87,
"USA","STINT","TOT","PC_PA","M","2002-05",1.82,
"USA","STINT","TOT","PC_PA","M","2002-06",1.81,
"USA","STINT","TOT","PC_PA","M","2002-07",1.79,
"USA","STINT","TOT","PC_PA","M","2002-08",1.73,
"USA","STINT","TOT","PC_PA","M","2002-09",1.76,
"USA","STINT","TOT","PC_PA","M","2002-10",1.73,
