DATE,DGS6MO,DGS1,DGS2,DGS5,DGS10,DGS30
1986-02-18,7.42,7.56,7.96,8.28,8.64,8.89
1986-02-19,7.51,7.67,8.06,8.37,8.7,8.92
1986-02-20,7.54,7.68,8.05,8.39,8.67,8.88
1986-02-21,7.42,7.56,7.93,8.24,8.48,8.73
1986-02-24,7.41,7.53,7.86,8.2,8.39,8.61
1986-02-25,7.43,7.59,7.89,8.21,8.4,8.6
1986-02-26,7.42,7.57,7.88,8.07,8.36,8.54
1986-02-27,7.36,7.48,7.72,7.91,8.15,8.32
1986-02-28,7.36,7.43,7.71,7.91,8.13,8.27
1986-03-03,7.3,7.35,7.55,7.76,7.99,8.16
1986-03-04,7.11,7.23,7.38,7.55,7.93,8.1
1986-03-05,7.16,7.3,7.54,7.76,8.12,8.26
1986-03-06,7.02,7.14,7.38,7.68,8.04,8.19
1986-03-07,6.93,7.07,7.29,7.56,7.96,8.15
1986-03-10,6.87,7.01,7.16,7.41,7.76,8
1986-03-11,6.88,7.03,7.15,7.35,7.7,7.94
1986-03-12,6.91,7.04,7.17,7.37,7.68,7.91
1986-03-13,6.96,7.07,7.21,7.46,7.75,7.95
1986-03-14,6.88,7,7.18,7.4,7.72,7.95
1986-03-17,6.92,7.03,7.22,7.42,7.77,7.97
1986-03-18,6.9,7.03,7.23,7.48,7.83,8
1986-03-19,6.88,7.02,7.17,7.46,7.82,8
1986-03-20,6.83,7,7.17,7.45,7.78,7.95
1986-03-21,6.8,6.98,7.19,7.47,7.8,7.98
1986-03-24,6.78,6.92,7.11,7.4,7.7,7.89
1986-03-25,6.76,6.93,7.12,7.39,7.7,7.9
1986-03-26,6.74,6.92,7.11,7.36,7.64,7.82
1986-03-27,6.62,6.79,7.04,7.28,7.49,7.63
1986-03-28,.,.,.,.,.,.
1986-03-31,6.57,6.72,6.92,7.19,7.39,7.44
1986-04-01,6.62,6.7,6.89,7.18,7.37,7.47
1986-04-02,6.64,6.68,6.9,7.21,7.33,7.43
1986-04-03,6.62,6.68,6.94,7.29,7.41,7.46
1986-04-04,6.51,6.58,6.85,7.22,7.45,7.53
1986-04-07,6.51,6.56,6.82,7.19,7.43,7.54
1986-04-08,6.4,6.48,6.7,7.07,7.31,7.39
1986-04-09,6.28,6.33,6.58,6.99,7.27,7.33
1986-04-10,6.29,6.32,6.58,6.95,7.23,7.31
1986-04-11,6.29,6.34,6.65,7,7.29,7.37
1986-04-14,6.23,6.26,6.53,6.89,7.19,7.29
1986-04-15,6.18,6.26,6.53,6.88,7.22,7.34
1986-04-16,6.07,6.14,6.39,6.68,6.98,7.14
1986-04-17,6.1,6.19,6.44,6.75,7.03,7.16
1986-04-18,6.1,6.19,6.44,6.78,7.09,7.19
1986-04-21,6.14,6.23,6.46,6.75,7.04,7.16
1986-04-22,6.24,6.32,6.58,6.93,7.25,7.28
1986-04-23,6.38,6.48,6.67,7.11,7.36,7.45
1986-04-24,6.45,6.62,6.89,7.31,7.51,7.59
1986-04-25,6.5,6.65,6.91,7.39,7.58,7.61
1986-04-28,6.46,6.59,6.86,7.27,7.48,7.54
1986-04-29,6.42,6.55,6.85,7.17,7.38,7.45
1986-04-30,6.44,6.54,6.83,7.17,7.38,7.47
1986-05-01,6.43,6.55,6.85,7.2,7.45,7.54
1986-05-02,6.42,6.57,6.88,7.23,7.51,7.62
1986-05-05,6.38,6.51,6.82,7.17,7.45,7.49
1986-05-06,6.36,6.48,6.82,7.16,7.46,7.5
1986-05-07,6.35,6.49,6.83,7.21,7.43,7.53
1986-05-08,6.33,6.45,6.78,7.17,7.4,7.36
1986-05-09,6.36,6.51,6.85,7.25,7.48,7.37
1986-05-12,6.44,6.61,6.98,7.41,7.67,7.41
1986-05-13,6.38,6.61,7,7.46,7.63,7.42
1986-05-14,6.34,6.56,7,7.48,7.66,7.43
1986-05-15,6.45,6.65,7.16,7.67,7.79,7.5
1986-05-16,6.56,6.8,7.32,7.89,7.99,7.64
1986-05-19,6.57,6.8,7.28,7.87,7.98,7.68
1986-05-20,6.55,6.75,7.23,7.8,7.88,7.58
1986-05-21,6.5,6.72,7.2,7.76,7.9,7.58
1986-05-22,6.56,6.73,7.2,7.76,7.88,7.5
1986-05-23,6.53,6.7,7.19,7.73,7.84,7.45
1986-05-26,.,.,.,.,.,.
1986-05-27,6.51,6.67,7.14,7.65,7.73,7.41
1986-05-28,6.55,6.72,7.17,7.55,7.73,7.45
1986-05-29,6.69,6.87,7.35,7.78,7.99,7.66
1986-05-30,6.7,6.88,7.36,7.82,8.05,7.74
1986-06-02,6.78,7,7.5,8.05,8.32,7.91
1986-06-03,6.77,7.01,7.49,7.99,8.19,7.81
1986-06-04,6.89,7.08,7.63,8.17,8.39,7.93
1986-06-05,6.84,7.05,7.54,8.1,8.31,7.9
1986-06-06,6.68,6.84,7.27,7.78,7.95,7.65
1986-06-09,6.73,6.9,7.39,7.94,8.13,7.79
1986-06-10,6.7,6.89,7.38,7.92,8.07,7.78
1986-06-11,6.75,6.93,7.39,7.9,8.01,7.7
1986-06-12,6.69,6.88,7.31,7.83,7.98,7.7
1986-06-13,6.55,6.66,7.15,7.57,7.73,7.52
1986-06-16,6.51,6.63,7.1,7.47,7.63,7.43
1986-06-17,6.46,6.58,7.08,7.45,7.63,7.43
1986-06-18,6.45,6.57,7.01,7.41,7.57,7.44
1986-06-19,6.5,6.66,7.1,7.49,7.69,7.52
1986-06-20,6.45,6.6,7.06,7.45,7.6,7.47
1986-06-23,6.47,6.6,7.03,7.42,7.55,7.43
1986-06-24,6.37,6.57,6.98,7.35,7.47,7.39
1986-06-25,6.37,6.53,6.91,7.31,7.42,7.36
1986-06-26,6.34,6.52,6.91,7.29,7.42,7.35
1986-06-27,6.27,6.47,6.84,7.27,7.38,7.29
1986-06-30,6.22,6.41,6.81,7.23,7.35,7.24
1986-07-01,6.24,6.39,6.8,7.23,7.37,7.21
1986-07-02,6.22,6.38,6.81,7.23,7.37,7.22
1986-07-03,6.11,6.26,6.71,7.15,7.31,7.18
1986-07-04,.,.,.,.,.,.
1986-07-07,6.1,6.26,6.7,7.14,7.31,7.16
1986-07-08,6.24,6.41,6.84,7.26,7.44,7.23
1986-07-09,6.17,6.31,6.73,7.14,7.31,7.15
1986-07-10,6.16,6.29,6.73,7.12,7.31,7.16
1986-07-11,6.07,6.17,6.6,7,7.3,7.19
1986-07-14,6.08,6.18,6.58,6.97,7.25,7.14
1986-07-15,6.06,6.17,6.56,6.91,7.16,7.12
1986-07-16,6.09,6.2,6.59,6.9,7.2,7.17
1986-07-17,6.08,6.21,6.61,6.91,7.18,7.2
1986-07-18,6.03,6.15,6.56,6.88,7.16,7.19
1986-07-21,6.04,6.14,6.56,6.88,7.14,7.17
1986-07-22,6.05,6.2,6.6,6.93,7.2,7.27
1986-07-23,6.15,6.29,6.63,7.04,7.29,7.36
1986-07-24,6.15,6.3,6.67,7.12,7.35,7.41
1986-07-25,6.15,6.32,6.67,7.09,7.33,7.4
1986-07-28,6.21,6.39,6.76,7.23,7.53,7.59
1986-07-29,6.14,6.33,6.71,7.13,7.41,7.5
1986-07-30,6.13,6.3,6.67,7.1,7.41,7.51
1986-07-31,6.06,6.2,6.57,7.02,7.34,7.46
1986-08-01,6.03,6.15,6.56,7.02,7.34,7.46
1986-08-04,6,6.13,6.56,7.01,7.33,7.46
1986-08-05,6.03,6.16,6.58,7.07,7.39,7.54
1986-08-06,6.04,6.2,6.61,7.13,7.47,7.57
1986-08-07,6.04,6.19,6.61,7.1,7.45,7.56
1986-08-08,6.01,6.12,6.54,6.97,7.3,7.41
1986-08-11,5.95,6.08,6.51,6.9,7.25,7.35
1986-08-12,5.83,6.03,6.46,6.89,7.23,7.34
1986-08-13,5.79,5.97,6.37,6.83,7.15,7.28
1986-08-14,5.8,6,6.39,6.89,7.16,7.29
1986-08-15,5.78,5.98,6.36,6.83,7.14,7.29
1986-08-18,5.81,5.98,6.37,6.83,7.14,7.28
1986-08-19,5.81,5.89,6.29,6.7,7.02,7.19
1986-08-20,5.78,5.85,6.17,6.65,7,7.17
1986-08-21,5.63,5.74,6.08,6.62,6.96,7.19
1986-08-22,5.66,5.78,6.14,6.68,7.07,7.27
1986-08-25,5.62,5.72,6.1,6.65,7.06,7.25
1986-08-26,5.54,5.68,6.02,6.63,6.97,7.2
1986-08-27,5.57,5.73,6.12,6.53,7.06,7.28
1986-08-28,5.53,5.68,6.07,6.52,7.04,7.26
1986-08-29,5.38,5.52,5.94,6.4,6.95,7.21
1986-09-01,.,.,.,.,.,.
1986-09-02,5.4,5.59,5.99,6.45,7.03,7.23
1986-09-03,5.5,5.68,6.14,6.64,7.2,7.43
1986-09-04,5.47,5.63,6.11,6.63,7.15,7.4
1986-09-05,5.53,5.72,6.25,6.81,7.32,7.54
1986-09-08,5.57,5.78,6.3,6.89,7.38,7.59
1986-09-09,5.56,5.77,6.3,6.88,7.35,7.53
1986-09-10,5.54,5.74,6.27,6.85,7.35,7.54
1986-09-11,5.65,5.84,6.43,7.07,7.57,7.74
1986-09-12,5.6,5.8,6.43,7.09,7.63,7.74
1986-09-15,5.57,5.77,6.39,7,7.53,7.66
1986-09-16,5.55,5.76,6.38,6.99,7.53,7.67
1986-09-17,5.54,5.77,6.37,6.93,7.46,7.64
1986-09-18,5.65,5.87,6.47,7.02,7.62,7.74
1986-09-19,5.67,5.86,6.52,7.1,7.67,7.83
1986-09-22,5.63,5.82,6.49,7.06,7.62,7.79
1986-09-23,5.63,5.83,6.46,7.03,7.58,7.76
1986-09-24,5.57,5.78,6.37,6.94,7.48,7.64
1986-09-25,5.58,5.78,6.37,6.94,7.47,7.64
1986-09-26,5.59,5.79,6.39,6.96,7.47,7.63
1986-09-29,5.63,5.86,6.46,7.04,7.54,7.69
1986-09-30,5.61,5.82,6.38,6.98,7.45,7.6
1986-10-01,5.61,5.82,6.36,6.93,7.41,7.57
1986-10-02,5.61,5.83,6.38,6.95,7.45,7.61
1986-10-03,5.39,5.6,6.16,6.74,7.31,7.53
1986-10-06,5.37,5.58,6.14,6.71,7.28,7.53
1986-10-07,5.28,5.57,6.13,6.71,7.28,7.54
1986-10-08,5.25,5.55,6.11,6.71,7.31,7.6
1986-10-09,5.26,5.57,6.15,6.73,7.33,7.63
1986-10-10,5.34,5.59,6.16,6.73,7.36,7.66
1986-10-13,.,.,.,.,.,.
1986-10-14,5.39,5.69,6.26,6.82,7.49,7.79
1986-10-15,5.5,5.7,6.27,6.87,7.51,7.78
1986-10-16,5.51,5.72,6.29,6.87,7.53,7.81
1986-10-17,5.59,5.81,6.38,6.94,7.57,7.84
1986-10-20,5.65,5.88,6.47,7.05,7.66,7.92
1986-10-21,5.63,5.83,6.4,6.96,7.57,7.84
1986-10-22,5.6,5.82,6.34,6.91,7.49,7.78
1986-10-23,5.55,5.79,6.31,6.82,7.43,7.72
1986-10-24,5.56,5.79,6.35,6.86,7.47,7.76
1986-10-27,5.53,5.76,6.32,6.82,7.42,7.71
1986-10-28,5.49,5.79,6.34,6.85,7.45,7.75
1986-10-29,5.48,5.75,6.32,6.82,7.41,7.71
1986-10-30,5.46,5.69,6.24,6.75,7.31,7.61
1986-10-31,5.5,5.73,6.26,6.76,7.34,7.61
1986-11-03,5.5,5.71,6.21,6.71,7.29,7.57
1986-11-04,5.55,5.72,6.23,6.71,7.31,7.59
1986-11-05,5.58,5.75,6.26,6.72,7.24,7.58
1986-11-06,5.61,5.79,6.29,6.79,7.32,7.55
1986-11-07,5.65,5.85,6.35,6.86,7.4,7.63
1986-11-10,5.74,5.92,6.42,6.89,7.38,7.64
1986-11-11,.,.,.,.,.,.
1986-11-12,5.74,5.89,6.38,6.87,7.35,7.59
1986-11-13,5.7,5.87,6.35,6.83,7.33,7.59
1986-11-14,5.69,5.86,6.33,6.81,7.29,7.53
1986-11-17,5.69,5.84,6.32,6.77,7.22,7.48
1986-11-18,5.64,5.81,6.32,6.79,7.27,7.52
1986-11-19,5.59,5.73,6.21,6.73,7.19,7.44
